"","doi","title"
"864","10.1098/rspa.2017.0859","how realistic are painted lightnings? quantitative comparison of the morphology of painted and real lightnings: a psychophysical approach"
"865","10.1017/ehs.2021.14","entropy trade-offs in artistic design: a case study of tamil \textitkolam"
"866","10.2139/ssrn.3258318","fame as an illusion of creativity: evidence from the pioneers of abstract art"
"868",NA,"tallinn university dissertations on humanities"
"869","10.1073/pnas.2302269120","the fragility of artists’ reputations from 1795 to 2020"
"870","10.1163/15685373-12340203","did teddy bears culturally evolve to be cuter? a preregistered replication"
"872","10.1038/srep02758","quantitative analysis of the evolution of novelty in cinema through crowdsourced keywords"
"876","10.1057/palcomms.2015.38","the evolving perception of controversial movies"
"877","10.4324/9780203489970","hollywood economics"
"878","10.1093/acprof:oso/9780199797813.003.0005","film through the human visual system"
"879",NA,"evolutionary dynamics of cultural memes and application to massive movie data"
"880","10.1068/i0441aap","quicker, faster, darker: changes in hollywood film over 75 years"
"882",NA,"détection automatique de l'architextualité dans le roman d'aventures"
"883",NA,"locating the leading edge of cultural change"
"884","10.1515/jlt-2019-0002","speech distribution in five-act tragedies (a question of classicism and romanticism)"
"885",NA,"success in books: a big data approach to bestsellers"
"886","https://doi.org/10.1002/asi.23971","the cultural evolution of national constitutions"
"890","10.1007/s11059-014-0241-1","taking darwin metaphorically and literally: genres and sciences in a survival struggle"
"892","10.2979/victorianstudies.54.1.79","learning to read data: bringing out the humanistic in the digital humanities"
"893","10.1073/pnas.1611910114","quantitative criticism of literary relationships"
"895","10.1093/llc/fqaf081","growing and pruning the archive: an agent-based model to build letter correspondence networks"
"896","10.1057/s41599-025-05166-3","sameness entices, but novelty enchants in fanfiction online"
"897","10.2307/468599","the life and death of literary forms"
"898","10.1215/00267929-61-1-207","the slaughterhouse of literature"
"899","10.18419/opus-12721","a computational stylistics of poetry : distant reading and modeling of german and english verse"
"900","10.15195/v9.a8","cohort succession explains most change in literary culture"
"901","10.1177/0963947015623419","the loss of poetic effects: from indeterminate to conventionalised meaning"
"902","10.1515/JLT.2007.009","a tale of two natures: worried reflections on the study of literature and culture in an age of neuroscience and neo-darwinism"
"903","10.1632/pmla.2020.135.1.40","the lag: technology and fiction in the twentieth century"
"904","10.1109/BigData.2013.6691676","mapping mutable genres in structurally complex volumes"
"905","10.1353/nlh.2017.0025","examples, samples, signs: an artifactual view of fictionality in the french novel, 1681–1830"
"906","10.1215/00267929-3570656","turbulent flow"
"907","10.1016/0304-422X(72)90029-0","the structure of literary evolution"
"908","10.1215/03335372-2648377","before the “inward turn”: tracing represented thought in the french novel (1800-1929)"
"909","10.1073/pnas.2121798119","historical representations of social groups across 200 years of word embeddings from google books"
"910","10.1038/s41562-022-01292-z","the cultural evolution of love in literary history"
"911",NA,"goethe, objecthood, and the handling of knowledge"
"912","10.1145/2464576.2482720","simulating the cultural evolution of literary genres"
"913","10.1093/llc/fqx031","dialogism in the novel: a computational model of the dialogic nature of narration and quotations"
"914","10.1017/S0140525X21000923","why imaginary worlds? the psychological foundations and cultural evolution of fictions with imaginary worlds"
"915","10.7208/chicago/9780226612973.001.0001","distant horizons: digital evidence and literary change"
"916","10.48694/jcls.3582","stylistic history of the hungarian novel based on sentence structures"
"917","10.1016/j.poetic.2024.101862","the psychological origins of science fiction"
"918","10.1126/science.abl7655","forgotten books: the application of unseen species models to the survival of culture"
"919",NA,"lost manuscripts and extinct texts: a dynamic model of cultural transmission"
"921",NA,"the rise and fall of genre differentiation in english-language fiction"
"922",NA,"does literature evolve one funeral at a time?"
"923","10.48694/jcls.3917","small worlds: measuring the mobility of characters in english-language fiction"
"924",NA,"lost manuscripts and extinct texts : a dynamic model of cultural transmission"
"925","10.5334/johd.95","multihathi: a complete collection of multilingual prose fiction in the hathitrust digital library"
"926","10.22148/001c.70251","the wikipedia republic of literary characters"
"927","10.1038/s44271-024-00117-1","the rising entropy of english in the attention economy"
"929",NA,"the sympathetic plot, its psychological origins, and implications for the evolution of fiction"
"931",NA,"network analysis and the sociology of modernism"
"932","10.48550/arXiv.2308.03224","quantifying the evolution of harmony and novelty in western classical music"
"933",NA,"cultural transmission modes of music sampling traditions remain stable despite delocalization in the digital age"
"934",NA,"statistical universals reveal the structures and functions of human music"
"936","10.1038/s41598-024-55742-x","song lyrics have become simpler and more repetitive over the last five decades"
"940","10.1140/epjds/s13688-025-00571-9","is it getting harder to make a hit? evidence from 65 years of us music chart history"
"941","10.1057/s41599-024-03168-1","computational modeling of interval distributions in tonal space reveals paradigmatic stylistic changes in western music history"
"942","10.1371/journal.pone.0307032","functional diversity in human song"
"944","10.1177/00031224241246271","feature-based structures of opportunity: genre innovation in the american popular music industry, 1958 to 2016"
"945","10.48550/arXiv.2405.07574","is it getting harder to make a hit? evidence from 65 years of us music chart history"
"946","10.1038/s41562-023-01800-9","commonality and variation in mental representations of music revealed by a cross-cultural comparison of rhythm priors in 15 countries"
"947","10.1371/journal.pone.0284851","convergent evolution in a large cross-cultural database of musical scales"
"948","10.1073/pnas.2218593120","universal interpretations of vocal music"
"949","10.1016/j.cub.2023.02.070","large-scale iterated singing experiments reveal oral transmission mechanisms underlying music evolution"
"952","10.18061/emr.v11i2.4961","mcflow: a digital corpus of rap transcriptions"
"953","10.3389/fpsyg.2018.00344","“the two brothers”: reconciling perceptual-cognitive and statistical models of musical evolution"
"954","10.1177/2059204318786084","alan lomax’s cantometrics project: a comprehensive review"
"955",NA,"measuring the cultural evolution of music: with case studies of british-american and japanese folk, art, and popular music"
"956","10.5406/ethnomusicology.58.1.0133","mapping music: cluster analysis of song-type frequencies within and between cultures"
"958","10.6084/M9.FIGSHARE.1468015","""automatic tune family identification by musical sequence alignment"" supplementary metadata"
"959","10.1140/epjds/s13688-015-0039-z","topology and evolution of the network of western classical music composers"
"960","10.1126/science.177.4045.228","the evolutionary taxonomy of culture: a few behavioral factors account for the regional variation and evolutionary development of culture."
"961","10.1371/journal.pone.0179303","waves of novelties in the expansion into the adjacent possible"
"962","10.1080/0022250X.2021.1956918","drifting to the top? disentangling mechanisms influencing the turnover rate of popular music"
"963","10.1016/j.poetic.2015.06.005","a community ecology of genres"
"964","10.1098/rspb.2011.1750","the structure of cross-cultural musical diversity"
"965","10.3389/fnins.2018.00020","the evolution of musicality: what can be learned from language evolution research?"
"968","10.1073/pnas.1800666115","acoustic evolution of old italian violins from amati to stradivari"
"969",NA,"climbing the charts: what radio airplay tells us about the diffusion of innovation"
"970","10.1057/s41599-021-00881-z","cultural macroevolution of musical instruments in south america"
"971","10.1016/j.evolhumbehav.2021.06.002","phylogenetic reconstruction of the cultural evolution of electronic music via dynamic community detection (1975–1999)"
"975","10.1177/0003122417728662","what makes popular culture popular? product features and optimal differentiation in music"
"978","10.1073/pnas.1619443114","listener evaluations of new and old italian violins"
"980","10.1098/rsos.221443","here comes the sun: music features of popular songs reflect prevailing weather conditions"
"981",NA,"the history of music production"
"982",NA,"musical instruments: history, technology, and performance of instruments of western music"
"983","10.1140/epjds/s13688-023-00377-7","novelty and cultural evolution in modern popular music"
"986","10.31234/osf.io/7b98u","global music discoveries reveal cultural shifts during the war in ukraine"
"987","10.1140/epjds/s13688-024-00476-z","first-mover advantage in music"
"988","10.1038/s41598-019-52380-6","statistical evolutionary laws in music styles"
"989","10.5753/sbbd.2023.232399","from exploration to exploitation: understanding the evolution of music careers through a data-driven approach"
"990","10.1038/s41467-025-60538-2","mechanisms of cultural diversity in urban populations"
"992","10.1177/17540739241259562","music as an evolved tool for socio-affective fiction"
"993","10.1111/bjop.12073","serial killers, spiders and cybersex: social and survival information bias in the transmission of urban legends"
"995","10.1037/0022-3514.81.6.1028","emotional selection in memes: the case of urban legends"
"998","10.1163/156853704323074732","the hierarchical transformation of event knowledge in human cultural transmission"
"999","10.1353/phl.2001.0035","narrative theory and function: why evolution matters"
